pathway	NOP2	DNA_REPLICATION
TCGA.UB.A7MB.01A.11R.A33R.07	5.284752496	0.354710978
TCGA.DD.A4NR.01A.11R.A311.07	5.284285308	-0.104419148
TCGA.DD.AAW0.01A.11R.A41C.07	5.281223639	-0.302848504
TCGA.BC.A10X.01A.11R.A131.07	5.276743738	-0.350191326
TCGA.UB.A7ME.01A.11R.A33J.07	5.275954222	-0.255380511
TCGA.DD.AADF.01A.11R.A41C.07	5.275252479	0.109425467
TCGA.DD.AACL.01A.11R.A41C.07	5.275124041	-0.032597147
TCGA.G3.A7M5.01A.11R.A33R.07	5.271495376	-0.249737741
TCGA.DD.AACU.01A.11R.A41C.07	5.268457725	-0.208161432
TCGA.ZP.A9D0.01A.11R.A37K.07	5.266168806	-0.291387616
TCGA.ZP.A9D1.01A.11R.A38B.07	5.260201009	-0.388714224
TCGA.DD.A4NK.01A.11R.A28V.07	5.259762445	-0.219427798
TCGA.DD.AADD.01A.11R.A41C.07	5.251152147	0.304533783
TCGA.XR.A8TE.01A.11R.A36F.07	5.246106894	-0.207936434
TCGA.CC.A7IH.01A.11R.A33J.07	5.245108811	0.008004658
TCGA.DD.A4NS.01A.11R.A311.07	5.232564801	-0.411368717
TCGA.RC.A7SK.01A.11R.A352.07	5.232466804	-0.211011019
TCGA.DD.A4NV.01A.11R.A311.07	5.220750945	-0.392026141
TCGA.UB.AA0V.01A.11R.A38B.07	5.220608022	-0.369095649
TCGA.DD.A11A.01A.11R.A131.07	5.217994848	-0.065503432
TCGA.DD.A73A.01A.12R.A32O.07	5.217078044	-0.270162994
TCGA.CC.A8HU.01A.11R.A36F.07	5.215485063	0.21610562
TCGA.DD.AAVX.01A.11R.A41C.07	5.208923459	-0.268722943
TCGA.DD.AACV.01A.11R.A41C.07	5.208508947	0.30654008
TCGA.2Y.A9GZ.01A.11R.A39D.07	5.19874774	-0.139347424
TCGA.G3.A5SL.01A.11R.A27V.07	5.198221801	-0.075880208
TCGA.DD.AADP.01A.11R.A39D.07	5.196999876	-0.001363655
TCGA.ED.A7XP.01A.11R.A352.07	5.194337104	-0.237686632
TCGA.DD.A4NO.01A.11R.A28V.07	5.190586585	-0.381806313
TCGA.CC.A9FV.01A.11R.A37K.07	5.187959732	-0.402516767
TCGA.DD.AAD0.01A.11R.A41C.07	5.186980009	0.327866887
TCGA.2Y.A9H5.01A.11R.A38B.07	5.186785581	-0.201731207
TCGA.FV.A3I0.01A.11R.A22L.07	5.186668372	-0.289871954
TCGA.DD.A4NJ.01A.11R.A27V.07	5.18145544	0.166540116
TCGA.MR.A8JO.01A.12R.A36F.07	5.180991439	-0.405612553
TCGA.G3.A3CH.01A.11R.A22L.07	5.17604814	0.053653952
TCGA.2Y.A9HA.01A.11R.A39D.07	5.175535878	-0.065712192
TCGA.ED.A66X.01A.11R.A311.07	5.172974556	-0.153804341
TCGA.ED.A7PY.01A.11R.A33R.07	5.168559381	-0.195411629
TCGA.CC.5264.01A.01R.A131.07	5.162466254	0.282655918
TCGA.RC.A7SF.01A.11R.A352.07	5.161029445	-0.128228259
TCGA.G3.A25Y.01A.11R.A16W.07	5.158650567	0.198797548
TCGA.DD.A1EF.01A.11R.A131.07	5.151843569	0.096737332
TCGA.3K.AAZ8.01A.12R.A39D.07	5.150321021	-0.125451275
TCGA.LG.A9QD.01A.11R.A38B.07	5.145254333	-0.36429
TCGA.ZS.A9CF.01A.11R.A38B.07	5.139801811	0.048614909
TCGA.WJ.A86L.01A.12R.A39D.07	5.138812779	-0.202833613
TCGA.ED.A459.01A.11R.A266.07	5.134220228	0.070906182
TCGA.DD.AADK.01A.11R.A41C.07	5.133165638	-0.374434275
TCGA.DD.AAVS.01A.11R.A41C.07	5.127049709	0.023394039
TCGA.DD.AADG.01A.11R.A41C.07	5.125733548	0.081268819
TCGA.DD.A114.01A.11R.A131.07	5.125169156	0.191763425
TCGA.BC.A3KG.01A.11R.A213.07	5.123562539	0.309057312
TCGA.2Y.A9GS.01A.12R.A38B.07	5.123035505	0.217027186
TCGA.ZP.A9CY.01A.11R.A38B.07	5.113975049	-0.395536288
TCGA.DD.AADQ.01A.11R.A41C.07	5.110910681	-0.137907958
TCGA.DD.A73B.01A.12R.A32O.07	5.108172833	0.275469372
TCGA.DD.A4NH.01A.11R.A27V.07	5.107983457	-0.108679009
TCGA.BC.4072.01B.11R.A155.07	5.105398249	-0.124832552
TCGA.DD.AAW3.01A.11R.A41C.07	5.102910134	0.027734774
TCGA.DD.AADR.01A.11R.A41C.07	5.10167278	0.070191288
TCGA.DD.A4NL.01A.11R.A28V.07	5.100858404	-0.480609409
TCGA.HP.A5MZ.01A.21R.A27V.07	5.098017337	-0.494247065
TCGA.CC.A3MA.01A.11R.A213.07	5.095344613	0.115395513
TCGA.DD.AACH.01A.11R.A41C.07	5.095176084	0.316651254
TCGA.BC.A10Z.01A.11R.A131.07	5.094563335	0.196697652
TCGA.BC.A10U.01A.11R.A131.07	5.093924996	-0.236451226
TCGA.DD.AADU.01A.11R.A41C.07	5.087375705	-0.268190675
TCGA.XR.A8TD.01A.12R.A39D.07	5.086572451	-0.06652451
TCGA.ED.A82E.01A.11R.A352.07	5.085184956	-0.109083017
TCGA.K7.A5RG.01A.11R.A28V.07	5.078889425	0.023967182
TCGA.DD.AACQ.01A.11R.A41C.07	5.07762184	0.035407071
TCGA.ED.A8O5.01A.11R.A36F.07	5.076437529	0.049605697
TCGA.DD.A1EE.01A.11R.A131.07	5.075579706	0.101175283
TCGA.5C.A9VH.01A.11R.A37K.07	5.075575041	-0.234133407
TCGA.2Y.A9GV.01A.11R.A38B.07	5.074918045	-0.347111281
TCGA.DD.A4NI.01A.11R.A27V.07	5.072284277	-0.399110392
TCGA.DD.AAEH.01A.11R.A41C.07	5.069925039	-0.299824782
TCGA.DD.A4NN.01A.11R.A28V.07	5.06960114	0.098809584
TCGA.EP.A2KC.01A.11R.A213.07	5.068903572	-0.058741814
TCGA.G3.AAV4.01A.11R.A38B.07	5.068861188	0.097927363
TCGA.BW.A5NP.01A.11R.A27V.07	5.068247781	0.137312655
TCGA.DD.AAC8.01A.11R.A41C.07	5.066628632	0.035815014
TCGA.CC.A3MB.01A.11R.A213.07	5.059037565	0.373097342
TCGA.DD.A1EC.01A.21R.A131.07	5.052242559	0.009236621
TCGA.ZS.A9CD.01A.11R.A37K.07	5.051695599	-0.434058991
TCGA.G3.A5SK.01A.11R.A27V.07	5.051519756	-0.433418876
TCGA.CC.A1HT.01A.11R.A131.07	5.051487925	0.173448642
TCGA.K7.A6G5.01A.11R.A311.07	5.043560781	-0.397723244
TCGA.DD.AACT.01A.11R.A41C.07	5.043310764	-0.299452668
TCGA.MR.A520.01A.11R.A266.07	5.043119625	-0.387341163
TCGA.DD.AAW2.01A.11R.A41C.07	5.029764761	0.033853427
TCGA.BC.4073.01B.02R.A131.07	5.029749089	-0.076610575
TCGA.DD.A3A7.01A.11R.A22L.07	5.029201383	-0.145410536
TCGA.DD.AAE9.01A.11R.A41C.07	5.02517222	-0.102313276
TCGA.DD.AAW1.01A.11R.A41C.07	5.022360875	-0.098697713
TCGA.HP.A5N0.01A.11R.A28V.07	5.021179197	-0.414215324
TCGA.RC.A6M6.01A.11R.A32O.07	5.019249297	0.122396414
TCGA.BC.A3KF.01A.11R.A213.07	5.017878067	-0.154178147
TCGA.UB.A7MF.01A.11R.A33J.07	5.009602636	0.145767473
TCGA.CC.A7IE.01A.21R.A38B.07	5.007815686	0.047337742
TCGA.DD.AADL.01A.11R.A41C.07	5.003759114	0.117048138
TCGA.G3.A3CG.01A.11R.A213.07	5.003703643	-0.298118205
TCGA.CC.A7IK.01A.12R.A33R.07	5.002961059	0.271959015
TCGA.DD.A1EL.01A.11R.A155.07	4.998194261	0.225243313
TCGA.UB.A7MD.01A.12R.A352.07	4.997996742	-0.276107753
TCGA.GJ.A3OU.01A.31R.A38B.07	4.991241695	-0.326686196
TCGA.LG.A6GG.01A.11R.A311.07	4.988322319	-0.128707715
TCGA.CC.A7IF.01A.11R.A33J.07	4.98749516	0.031158927
TCGA.CC.A3M9.01A.11R.A213.07	4.981000387	0.243777621
TCGA.DD.AACP.01A.11R.A41C.07	4.980784002	0.290398991
TCGA.DD.A3A8.01A.11R.A22L.07	4.979518483	-0.140592341
TCGA.G3.AAV2.01A.11R.A37K.07	4.979470941	-0.221666485
TCGA.RC.A6M4.01A.11R.A32O.07	4.979201655	0.133501704
TCGA.5R.AAAM.01A.12R.A41C.07	4.978753008	-0.500733735
TCGA.2Y.A9HB.01A.11R.A39D.07	4.977272169	-0.34077929
TCGA.DD.AAEG.01A.11R.A39D.07	4.973659403	-0.167543685
TCGA.DD.A3A4.01A.11R.A22L.07	4.972254285	-0.179521017
TCGA.DD.AADV.01A.11R.A39D.07	4.967288869	0.172234377
TCGA.2Y.A9GX.01A.11R.A38B.07	4.963938336	-0.328943919
TCGA.DD.A4NG.01A.11R.A27V.07	4.960815241	-0.04796892
